,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,guardianx,traveltimex,studytimex,failuresx,schoolsupx,famsup.x,paidmat,activitiesx,higherx,romantic.x,famrelx,freetimex,gooutx,Dalcx,Walcx,healthx,absencesx,G3x,failuresy,paidport,freetime.y,absencesy,G3y
0,GP,F,15,R,GT3,T,1,1,at_home,other,home,yes,yes,mother,2,4,1,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,10,0,yes,1,4,13
1,GP,F,15,R,GT3,T,1,1,other,other,reputation,no,yes,mother,1,2,2,yes,yes,no,no,yes,yes,3,3,4,2,4,5,2,5,0,no,3,2,11
2,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,yes,no,mother,1,1,0,yes,yes,yes,yes,yes,no,4,3,1,1,1,2,8,13,0,no,3,8,12
3,GP,F,15,R,GT3,T,2,4,services,health,course,yes,yes,mother,1,3,0,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,8,0,no,3,2,10
4,GP,F,15,R,GT3,T,3,3,services,services,reputation,yes,yes,other,2,3,2,no,yes,yes,yes,yes,yes,4,2,1,2,3,3,8,10,0,yes,2,2,13
5,GP,F,15,R,GT3,T,3,4,services,health,course,yes,yes,mother,1,3,0,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,0,no,3,2,12
6,GP,F,15,R,GT3,T,3,4,services,teacher,course,yes,yes,father,2,3,2,no,yes,no,no,yes,yes,4,2,2,2,2,5,0,0,0,no,2,0,12
7,GP,F,15,R,LE3,T,2,2,health,services,reputation,yes,yes,mother,2,2,0,yes,yes,yes,no,yes,no,4,1,3,1,3,4,2,8,0,no,1,0,11
8,GP,F,15,R,LE3,T,3,1,other,other,reputation,no,yes,father,2,4,0,no,yes,no,no,yes,no,4,4,2,2,3,3,12,16,0,no,4,6,15
9,GP,F,15,U,GT3,A,3,3,other,health,reputation,yes,no,father,1,4,0,yes,no,no,no,yes,no,4,3,3,1,1,4,10,11,0,no,3,10,10
10,GP,F,15,U,GT3,A,4,3,services,services,reputation,yes,yes,mother,1,2,0,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,0,no,3,0,15
11,GP,F,15,U,GT3,T,1,1,at_home,other,course,no,yes,mother,3,1,0,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0,0,0,no,3,6,13
12,GP,F,15,U,GT3,T,1,1,other,other,home,no,yes,father,1,2,0,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,10,0,no,3,2,12
13,GP,F,15,U,GT3,T,1,1,other,services,course,yes,yes,father,1,2,0,no,yes,yes,no,yes,no,4,4,2,1,2,5,0,11,0,no,4,0,12
14,GP,F,15,U,GT3,T,1,2,at_home,other,course,no,yes,mother,1,2,0,no,yes,yes,no,yes,no,4,3,2,1,1,5,2,11,0,no,3,6,13
15,GP,F,15,U,GT3,T,1,2,at_home,services,course,no,yes,mother,1,2,0,no,no,no,no,yes,no,3,2,3,1,2,1,2,15,0,no,2,0,14
16,GP,F,15,U,GT3,T,2,1,services,other,reputation,yes,yes,father,3,3,0,no,yes,no,yes,yes,no,5,2,2,1,1,4,4,12,0,no,2,0,13
17,GP,F,15,U,GT3,T,2,2,other,other,course,yes,yes,mother,1,4,0,yes,yes,yes,no,yes,no,5,1,2,1,1,3,8,8,0,no,1,4,10
18,GP,F,15,U,GT3,T,2,3,other,other,other,yes,no,father,2,1,0,no,yes,no,yes,yes,no,3,5,1,1,1,5,0,6,0,no,5,4,11
19,GP,F,15,U,GT3,T,3,2,health,services,home,yes,yes,father,1,2,3,no,yes,no,no,yes,no,3,3,2,1,1,3,0,0,1,no,3,2,11
20,GP,F,15,U,GT3,T,3,2,services,other,home,yes,yes,mother,2,2,0,yes,yes,yes,no,yes,no,4,3,5,1,1,2,26,6,0,no,3,16,10
21,GP,F,15,U,GT3,T,4,2,health,services,home,yes,yes,mother,1,3,0,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,0,no,2,0,14
22,GP,F,15,U,GT3,T,4,2,other,other,reputation,yes,yes,mother,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,3,1,4,14,0,no,3,4,15
